,weighted_completion_time,average_completion_time,deadline_miss_count,deadline_miss_rate,weighted_tardiness,makespan,gpu_time_utilization,gpu_peak_memory_utilization,gpu_average_memory_utilization
FIFO,16148.478883357056,6.537195206258894,20.0,0.02,157.25999999999954,2495.605789473684,0.4360128475302176,0.5965277777777778,0.15950271394458967
Greedy,13420.219914651507,5.46977984352773,1.0,0.001,1.876315789473665,2495.605789473684,0.3588996183469079,0.43333333333333335,0.08193828846850072
SAGreedy,14012.314651493589,5.717768193456617,0.0,0.0,0.0,2495.605789473684,0.372762434301759,0.5930555555555556,0.09985721988480885
