,weighted_completion_time,average_completion_time,deadline_miss_count,deadline_miss_rate,weighted_tardiness,makespan,gpu_time_utilization,gpu_peak_memory_utilization,gpu_average_memory_utilization
FIFO,4475253.186009951,994.9694327690846,1493.0,0.9953333333333333,4400151.266664294,3505.510000000004,0.9984224063630472,0.6,0.38480309537328905
Greedy,4474466.802332857,994.7619942911332,1494.0,0.996,4399362.711920337,3501.4559459459424,0.9992217976753075,0.6,0.3809975853371412
SAGreedy,4023365.9107041243,922.0541701280232,851.0,0.5673333333333334,3959335.614473683,3796.833243243242,0.9224182507982608,0.6,0.3531116068508678
