,weighted_completion_time,average_completion_time,deadline_miss_count,deadline_miss_rate,weighted_tardiness,makespan,gpu_time_utilization,gpu_peak_memory_utilization,gpu_average_memory_utilization
FIFO,35691.381073968674,7.939542996680867,51.0,0.034,221.21460170697034,1512.2649999999999,0.7820887206166207,0.6000000000000001,0.30497381982321276
Greedy,35409.789082503536,7.886964845898504,33.0,0.022,171.22585348506414,1502.826842105263,0.6998866105073318,0.6000000000000001,0.21427526100944627
SAGreedy,35669.40783072543,7.9501148838311835,27.0,0.018,75.20684921764189,1503.1102702702701,0.7005644950721369,0.6000000000000001,0.21507140183581347
