,weighted_completion_time,average_completion_time,deadline_miss_count,deadline_miss_rate,weighted_tardiness,makespan,gpu_time_utilization,gpu_peak_memory_utilization,gpu_average_memory_utilization
FIFO,14752.171586059721,5.899660846372686,6.0,0.006,49.017368421052765,2492.6731578947365,0.2629778676530641,0.47962962962962963,0.07519347783552886
Greedy,13196.42638691322,5.255090128022761,1.0,0.001,0.3473684210525789,2492.6731578947365,0.23418852606984814,0.26666666666666666,0.04681857335721956
SAGreedy,13196.42638691322,5.255090128022761,1.0,0.001,0.3473684210525789,2492.6731578947365,0.23418852606984814,0.26666666666666666,0.04681857335721956
