,weighted_completion_time,average_completion_time,deadline_miss_count,deadline_miss_rate,weighted_tardiness,makespan,gpu_time_utilization,gpu_peak_memory_utilization,gpu_average_memory_utilization
FIFO,21784.778570412534,8.667171991465148,52.0,0.052,524.5360455192015,2494.847027027027,0.8449856819909568,0.6,0.3135007712901068
Greedy,22341.602403982954,8.92158792318636,53.0,0.053,504.318883357048,2495.9342105263154,0.7886381127847512,0.6,0.25596271666123416
SAGreedy,22417.884879089648,8.971977930298731,54.0,0.054,454.7834423897634,2495.9342105263154,0.7885423714935921,0.6,0.2572499885739574
