,weighted_completion_time,average_completion_time,deadline_miss_count,deadline_miss_rate,weighted_tardiness,makespan,gpu_time_utilization,gpu_peak_memory_utilization,gpu_average_memory_utilization
FIFO,13117560.245697021,2149.2168420056905,1996.0,0.998,13040575.616856325,5319.002432432436,0.9996002500898542,0.6,0.3809189213453604
Greedy,13117367.32623757,2149.1597528200577,1995.0,0.9975,13040389.262667142,5320.226315789481,0.9991978218911076,0.6,0.3755859440931822
SAGreedy,12915595.994267425,2134.805710149363,1957.0,0.9785,12839107.925035562,5333.5136842105285,0.9967283525430147,0.6,0.3783154917136002
