,weighted_completion_time,average_completion_time,deadline_miss_count,deadline_miss_rate,weighted_tardiness,makespan,gpu_time_utilization,gpu_peak_memory_utilization,gpu_average_memory_utilization
FIFO,2334901.681543385,382.545484861309,1982.0,0.991,2258056.761514936,1784.0949999999998,0.9937845891855301,0.6000000000000001,0.3795099456220618
Greedy,2332979.4340540543,382.2473595625887,1982.0,0.991,2256178.8878307273,1776.842105263157,0.9970468609901373,0.6000000000000001,0.38108942325026457
SAGreedy,2301389.180761025,385.01917449146555,1825.0,0.9125,2227009.752005688,1803.1731578947358,0.9828682587501915,0.6000000000000001,0.3731792035943688
