,weighted_completion_time,average_completion_time,deadline_miss_count,deadline_miss_rate,weighted_tardiness,makespan,gpu_time_utilization,gpu_peak_memory_utilization,gpu_average_memory_utilization
FIFO,554470.2322901856,123.28248715030827,1430.0,0.9533333333333334,480571.7819701282,1756.6349999999998,0.9964258683445624,0.6,0.3851790441893915
Greedy,553083.0221621622,122.95003284495031,1428.0,0.952,479168.66214793804,1754.0100000000007,0.9970589602757274,0.6,0.38322518878408224
SAGreedy,484356.7070910387,111.95987784732115,1318.0,0.8786666666666667,411817.14575391274,1768.3262162162162,0.9883572652125202,0.6,0.37632879635820443
