,weighted_completion_time,average_completion_time,deadline_miss_count,deadline_miss_rate,weighted_tardiness,makespan,gpu_time_utilization,gpu_peak_memory_utilization,gpu_average_memory_utilization
FIFO,5028058.119345659,823.8257952453773,1989.0,0.9945,4951147.068862026,2664.4950000000003,0.9979814077625736,0.6,0.38303417175895443
Greedy,5027883.744431006,823.7894388549081,1991.0,0.9955,4950971.346863439,2664.592105263159,0.997363545048092,0.6,0.3799216010449213
SAGreedy,4951518.844551926,815.897398509958,1884.0,0.942,4876043.613271691,2683.30864864865,0.989870001702073,0.6,0.37203101351299434
