,weighted_completion_time,average_completion_time,deadline_miss_count,deadline_miss_rate,weighted_tardiness,makespan,gpu_time_utilization,gpu_peak_memory_utilization,gpu_average_memory_utilization
FIFO,22291.852681365603,9.15854929587482,57.0,0.057,523.9704409672795,2503.4,0.855855846385568,0.6,0.32118150258433426
Greedy,22829.904594594605,9.383770106685647,52.0,0.052,502.9900284495056,2498.079473684211,0.8035542357593127,0.6,0.2703609138328013
SAGreedy,22966.718577524916,9.454209068278812,49.0,0.049,393.0371408250371,2498.079473684211,0.8051661426064204,0.6,0.27293575438600404
