,weighted_completion_time,average_completion_time,deadline_miss_count,deadline_miss_rate,weighted_tardiness,makespan,gpu_time_utilization,gpu_average_concurrent_tasks,gpu_peak_memory_utilization,gpu_average_memory_utilization
FIFO,3482740.129468943,1428.9953174348032,952.0,0.952,361917.48132764356,2849.763333333335,0.9963685099084151,0.9963685099084151,0.6,0.3752116042970483
Greedy,3483142.5247083944,1429.2192381839752,951.0,0.951,362189.7704125177,2843.026666666664,0.9972443190328365,0.9972443190328365,0.6,0.3644379995368712
SAGreedy,3445234.0521621653,1417.2491777240402,671.0,0.671,337735.38556187734,2927.3571929824575,0.970339159704143,0.970339159704143,0.6,0.3628091566375338
