,weighted_completion_time,average_completion_time,deadline_miss_count,deadline_miss_rate,weighted_tardiness,makespan,gpu_time_utilization,gpu_average_concurrent_tasks,gpu_peak_memory_utilization,gpu_average_memory_utilization
FIFO,3174926.18713371,1244.9644221266005,111.0,0.111,1447.4078022758772,2494.847027027027,0.8449856819909568,0.8449856819909568,0.6,0.3135007712901068
SPT,3174926.18713371,1244.9644221266005,111.0,0.111,1447.4078022758772,2949.255,0.7136121997020407,0.7136121997020407,0.6,0.26977408372472317
EDF,3174926.18713371,1244.9644221266008,111.0,0.111,1447.4078022758772,2497.620526315789,0.8415262474315309,0.8415262474315309,0.6,0.311689880113913
MultiObjective,3174926.18713371,1244.9644221266005,111.0,0.111,1447.4078022758772,2502.3136842105246,0.7746186110972095,0.7746186110972095,0.6,0.247725062680856
