,weighted_completion_time,average_completion_time,deadline_miss_count,deadline_miss_rate,weighted_tardiness,makespan,gpu_time_utilization,gpu_average_concurrent_tasks,gpu_peak_memory_utilization,gpu_average_memory_utilization
FIFO,3071180.1426813602,1260.1459892958746,57.0,0.057,523.9704409672795,2503.4,0.855855846385568,0.855855846385568,0.6,0.32118150258433426
Greedy,3071718.1945945923,1260.371210106687,52.0,0.052,502.9900284495056,2498.079473684211,0.8035542357593127,0.8035542357593127,0.6,0.2703609138328013
SAGreedy,3071968.095583212,1260.4928636202003,48.0,0.048,329.3748933143717,2498.079473684211,0.8061314170944495,0.8061314170944495,0.6,0.2723664196328273
