,weighted_completion_time,average_completion_time,deadline_miss_count,deadline_miss_rate,weighted_tardiness,makespan,gpu_time_utilization,gpu_peak_memory_utilization,gpu_average_memory_utilization
FIFO,16271.623086770973,6.4535916216216185,19.0,0.019,139.55236842105137,2492.6731578947365,0.4309755890763092,0.6,0.1548344481776995
Greedy,13507.920433854904,5.3807991536273105,1.0,0.001,0.3473684210525789,2492.6731578947365,0.3536121454701889,0.43333333333333335,0.07929591698025859
SAGreedy,13507.920433854904,5.3807991536273105,1.0,0.001,0.3473684210525789,2492.6731578947365,0.3536121454701889,0.43333333333333335,0.07929591698025859
