Algorithm,weighted_waiting_time,average_waiting_time,total_tasks,completed_tasks,completion_rate,prefill_completion_time,decode_completion_time,gpu_utilization,throughput,batch_efficiency,makespan
FIFO,4576.243667815817,2.3800897182924086,500,325,0.65,1.984199572649573,0.3958901456428349,0.0,5.886071020427383,0.0,55.2151
WeightedFIFO,4576.243667815817,2.3800897182924086,500,325,0.65,1.984199572649573,0.3958901456428349,0.0,5.886071020427383,0.0,55.2151
SRPT,4576.243667815817,2.3800897182924086,500,325,0.65,1.984199572649573,0.3958901456428349,0.0,5.886071020427383,0.0,55.2151
WSRPT,4576.243667815817,2.3800897182924086,500,325,0.65,1.984199572649573,0.3958901456428349,0.0,5.886071020427383,0.0,55.2151
