Algorithm,weighted_waiting_time,average_waiting_time,total_tasks,completed_tasks,completion_rate,prefill_completion_time,decode_completion_time,gpu_utilization,throughput,batch_efficiency,makespan
FIFO,33.611111111111114,0.20370370370370366,30,30,1.0,0.20370370370370366,0.0,0.0,100.30835531448527,0.0,0.2990777777777778
WeightedFIFO,33.611111111111114,0.20370370370370366,30,30,1.0,0.20370370370370366,0.0,0.0,100.30835531448527,0.0,0.2990777777777778
SRPT,33.611111111111114,0.20370370370370366,30,30,1.0,0.20370370370370366,0.0,0.0,100.30835531448527,0.0,0.2990777777777778
