Algorithm,weighted_waiting_time,average_waiting_time,total_tasks,completed_tasks,completion_rate,prefill_completion_time,decode_completion_time,gpu_utilization,throughput,batch_efficiency,makespan
FIFO,4559.110577638931,2.348741999650396,500,325,0.65,1.984199572649573,0.364542427000822,0.0,5.886071020427383,0.0,55.2151
WeightedFIFO,4559.110577638931,2.348741999650396,500,325,0.65,1.984199572649573,0.364542427000822,0.0,5.886071020427383,0.0,55.2151
SRPT,4559.110577638931,2.348741999650396,500,325,0.65,1.984199572649573,0.364542427000822,0.0,5.886071020427383,0.0,55.2151
WSRPT,4559.110577638931,2.348741999650396,500,325,0.65,1.984199572649573,0.364542427000822,0.0,5.886071020427383,0.0,55.2151
