Algorithm,weighted_waiting_time,average_waiting_time,total_tasks,completed_tasks,completion_rate,prefill_completion_time,decode_completion_time,gpu_utilization,throughput,batch_efficiency,makespan
FIFO,377.1592634744572,1.5939982207299526,80,68,0.85,0.4928623366013067,1.1011358841286456,0.0,0.6581389906384343,0.0,103.32164021164576
WeightedFIFO,377.1592634744572,1.5939982207299526,80,68,0.85,0.4928623366013067,1.1011358841286456,0.0,0.6581389906384343,0.0,103.32164021164576
SRPT,377.1592634744572,1.5939982207299526,80,68,0.85,0.4928623366013067,1.1011358841286456,0.0,0.6581389906384343,0.0,103.32164021164576
WSRPT,377.1592634744572,1.5939982207299526,80,68,0.85,0.4928623366013067,1.1011358841286456,0.0,0.6581389906384343,0.0,103.32164021164576
