,weighted_completion_time,average_completion_time,deadline_miss_count,deadline_miss_rate,weighted_tardiness,makespan,gpu_time_utilization,gpu_peak_memory_utilization,gpu_average_memory_utilization
FIFO,14937.820554765309,6.074777453769569,15.0,0.015,83.21999999999883,2495.605789473684,0.2704655019987803,0.5305555555555556,0.08297323082517365
Greedy,13119.22241820768,5.3429641394025555,0.0,0.0,0.0,2495.605789473684,0.23782948796303863,0.25740740740740736,0.048766693938583974
SAGreedy,13119.22241820768,5.3429641394025555,0.0,0.0,0.0,2495.605789473684,0.23782948796303863,0.25740740740740736,0.048766693938583974
